city,hotel_name,score,description,latitude,longitude,temperature,humidity
Le Havre,Duplex lumineux tout confort,8.0,"Duplex lumineux tout confort in Le Havre offers accommodation with free WiFi, 2.3 km from Le Volcan, 2.4 km from Perret Model Appartment and 2.8 km from Saint-Michel's Church. ",49.4862761,0.131625,5,80
Le Havre,Les gîtes Havrais Bis,7.1,"Located within 1.2 km of Le Havre Beach and 1.4 km of Saint-Michel's Church in Le Havre, Les gîtes Havrais Bis provides accommodation with free WiFi and seating area. ",49.5043976,0.1002814,5,80
Bayeux,La Closerie Teranga,9.1,Managed by a private host,49.27804172,-0.70187662,5,81
Amiens,WHITE HOUSE DHAVERNAS,8.6,Managed by a private host,49.8814696,2.2998714,2,87
Le Havre,Le Petit Vatel,7.1,"Le Petit Vatel is located in l’espace Perret, 500 metres from the city hall in La Havre and 1 km from its train station and ferry harbour. Free Wi-Fi access is provided. ",49.491117,0.10451764,5,80
Paris,UCPA SPORT STATION HOSTEL PARIS,8.0,"Featuring a restaurant, bar and views of city, UCPA SPORT STATION HOSTEL PARIS is set in Paris, 3.1 km from Gare du Nord Metro Station. ",48.898133,2.371142,3,80
Mont Saint Michel,Au Mont Pour Deux,8.3,Managed by a private host,48.61349776,-1.48584455,4,85
Chateau du Haut Koenigsbourg,"The Originals Boutique, Hôtel Le Kastelberg, Obernai",8.1,"The Originals Boutique, Hôtel Le Kastelberg, Obernai is located in the famous Kasterlberg Grand Cru vineyard, at the edge of a forest. Free Wi-Fi is available throughout the hotel and restaurant. ",48.38746927,7.42029369,-3,90
Chateau du Haut Koenigsbourg,LA TOUR des fées,9.5,"Set 23 km from Würth Museum, LA TOUR des fées offers accommodation with a bar, a garden and room service for your convenience. Complimentary WiFi is offered. ",48.39372,7.439759,-3,90
Dijon,Apartment Bonnard - best view in Dijon,8.9,Managed by a private host,47.31902668,5.0375203,0,89
Strasbourg,Cozy Appartement Halles Strasbourg,9.5,Managed by a private host,48.5867897,7.7434983,1,84
Besancon,Spacieux 3 chambres refait à neuf,,Managed by a private host,47.2486019,6.0305178,0,88
Grenoble,Cosy-T1-Gare de Grenoble,9.0,Managed by a private host,45.190343,5.7111216,0,88
Annecy,"Annecy Lake, Luxury top floor apartment by LocationlacAnnecy, LLA Selections",9.0,"Set in a central area of Annecy, Annecy Lake, Luxury top floor apartment by LocationlacAnnecy, LLA Selections offers accommodation with mountain views, just 37 km from Bourget Lake and 42 km from...",45.8958075,6.1294522,-1,93
Chateau du Haut Koenigsbourg,Hotel La Mirabelle,9.0,"Hotel La Mirabelle is located in Rheinhausen, 4 km from the Europa-Park. ",48.22580415,7.71240387,-3,90
La Rochelle,Hôtel François 1er,8.1,"Located in the heart of historic La Rochelle, this hotel is set in a 16th century building just a 5 minute walk from the Old Port and local market. ",46.16091143,-1.15203694,4,81
Bayonne,Appartement T2 avec place de parking,9.0,Managed by a private host,43.47827598,-1.50334341,4,81
La Rochelle,Hotel de Paris,7.6,"The Hotel de Paris is located in the city centre of La Rochelle, in a pedestrian street between Place de Verdun and Place du Marché Just a 5-minute walk from the old port and parks, the hotel offers ...",46.16196911,-1.1511746,4,81
Bayonne,Temporesidence Chateauneuf,7.3,"Located in the Aquitaine region, this residence features modern accommodation with wired internet access and a flat-screen TV with cable channels. The sandy beaches of Biarritz are just 8 km away. ",43.48991068,-1.47314027,4,81
Bayonne,Bayonne en plein cœur Centre Historique 2 chambres,8.9,Managed by a private host,43.4890699,-1.4755226,4,81
